id,species,num,long,lat,year,locat,window
3892444939,sciurus_aberti,100,-104.980545,23.610068,2022,"34345 Dgo., México",20_25
3881458582,sciurus_aberti,118,-105.055488,23.642048,2022,"Km 61 carretera federal #40 Durango-Mazatlán + 26 Km por entronque Navíos-Regocijo + 14 Km de terracería Camino sin nombre, s/n Rancho Molinillos, 34345 Dgo., México",20_25
3873987801,sciurus_aberti,125,-105.669379,23.713736,2022,"Pueblo Nuevo, Dgo., México",20_25
2596254600,sciurus_aberti,929,-105.866649,24.459958,2019,"San Dimas, Dgo., México",20_25
896306900,sciurus_aberti,2269,-104.739952,23.58361,1947,"DURANGO: MOUNTAINS, 50 MI S",20_25
1453256360,sciurus_aberti,1654,-105.455044,23.674268,2016,"Pueblo Nuevo, Dgo., México",20_25
2963925981,sciurus_aberti,644,-105.502256,23.715759,2020,"Pueblo Nuevo, Dgo., México",20_25
3455988206,sciurus_aberti,295,-105.378409,23.774351,2022,"Pueblo Nuevo, Dgo., México",20_25
1880652053,sciurus_aberti,1387,-104.978245,23.461199,2017,"Pueblo Nuevo, Dgo., México",20_25
3892467959,sciurus_aberti,99,-104.980473,23.609688,2022,"34345 Dgo., México",20_25
1987351527,sciurus_aberti,1171,-105.549444,24.09594766,1953,"MEXICO: DURANGO:  CO.; 25MI NNW EL SALTO,LA LAGUNA,8000FT; 24.09556, -105.54917;",20_25
3892609955,sciurus_aberti,95,-104.980705,23.609985000000002,2022,"34345 Dgo., México",20_25
3384331153,sciurus_aberti,337,-104.863176,23.351637,2021,"34964 Dgo., México",20_25
896306732,sciurus_aberti,2279,-105.741285,23.762114,1938,Neveros: 6 km NW La Ciudad,20_25
3384134688,sciurus_aberti,339,-104.8934,23.301186,2021,"34964 Dgo., México",20_25
2429262535,sciurus_aberti,1034,-105.055552,23.642142,2019,"Durango, Durango, Mexico",20_25
3923642039,sciurus_aberti,11,-105.489182,23.715834,2022,"Pueblo Nuevo, Dgo., México",20_25
3356347375,sciurus_aberti,347,-106.040836,24.371876,1956,"10 mi, by road, E La Ciudad, Durango",20_25
3032088296,sciurus_aberti,598,-104.960592,23.448638,2018,"Pueblo Nuevo, Dgo., México",20_25
3039357342,sciurus_aberti,595,-105.573753,24.267906,2017,"San Dimas, Dgo., México",20_25
1145682482,sciurus_aberti,1865,-105.534094,23.75232421,1951,"Las Rucias, 13 mi E La Ciudad",20_25
3356358332,sciurus_aberti,343,-105.703325,23.719946,1956,"1.5 mi, by road, SW La Ciudad, Durango",20_25
2423198254,sciurus_aberti,1039,-105.055514,23.642144,2019,"Durango, Durango, Mexico",20_25
2963927937,sciurus_aberti,643,-105.503086,23.7159,2020,"Pueblo Nuevo, Dgo., México",20_25
1987315963,sciurus_aberti,1192,-105.6780922,23.7315905,1955,"MEXICO: DURANGO:  CO.; 28.4MI SW EL SALTO,HWY 40; 23.731188, -105.677817;",20_25
2423168997,sciurus_aberti,1040,-105.071495,23.641437,2019,"Durango, Dgo., México",20_25
3903268242,sciurus_aberti,39,-105.368009,23.769777,2022,Pueblo Nuevo,20_25
3124632486,sciurus_aberti,507,-104.865493,23.315298,2021,"Pueblo Nuevo, Dgo., México",20_25
3343878474,sciurus_aberti,443,-105.026251,23.896785,2021,"34385 Dgo., México",20_25
896306908,sciurus_aberti,2262,-105.433093,23.760513,1948,EL SALTO: 5 MI SW,20_25
2540830481,sciurus_aberti,977,-108.212428,29.322989,2019,"Madera, Chih., México",25_30
3754669325,sciurus_aberti,229,-108.264204,29.746163,1990,"Mexico, Sierra Madre Occidental, Mesa Cuesta Blanca, ca. 7.0-10.0 km N, 1 km W Mesa del Huracán",25_30
2596105029,sciurus_aberti,930,-107.84622,28.353484,2010,"Tomochi, Chih., México",25_30
896306907,sciurus_aberti,2263,-106.998425,25.932421,1937,MT MOHINORA: E SIDE,25_30
1987295325,sciurus_aberti,1203,-108.2624742,29.74397199,1991,"MEXICO: CHIHUAHUA:  CO.; SIERRA MADRE OCCIDENTAL, MESA CUESTA  BLANCA, 7-10KM N, 1KM W MESA DEL HURACAN, 29DEG43'N, 108DEG16'W; 29.7438123, -108.2621038;",25_30
3903165672,sciurus_aberti,42,-108.227577,29.282389,2021,"Madera, MX-CH, MX",25_30
2999104972,sciurus_aberti,627,-106.937155,25.986277,2020,"Guadalupe y Calvo, Chih., México",25_30
3902594727,sciurus_aberti,67,-108.108877,29.306174,2021,"Madera, MX-CH, MX",25_30
2626399159,sciurus_aberti,895,-108.315889,29.362501,2020,"Madera, MX-CH, MX",25_30
3005158636,sciurus_aberti,621,-106.939981,26.010415,2020,"Guadalupe y Calvo, Chih., México",25_30
2540835694,sciurus_aberti,976,-108.212619,29.323401,2019,"Madera, MX-CH, MX",25_30
2540887918,sciurus_aberti,969,-108.21186,29.32435,2019,"Madera, Chih., México",25_30
3754669312,sciurus_aberti,241,-108.302741,29.805229,1990,"Mexico, Sierra Madre Occidental, San Juan, ca. 15.0 km N, 4.5 km W Mesa del Huracán",25_30
3902904128,sciurus_aberti,56,-108.051178,29.367299,2021,"Madera, MX-CH, MX",25_30
2540755083,sciurus_aberti,997,-108.212615,29.3234,2019,"Madera, Chih., México",25_30
2540789527,sciurus_aberti,987,-108.201465,29.327834,2019,"Madera, Chih., México",25_30
1668896541,sciurus_aberti,1530,-108.154822,29.380729,2012,"Madera, MX-CH, MX",25_30
3902954648,sciurus_aberti,52,-108.1296,29.327223,2021,"Madera, MX-CH, MX",25_30
1945475950,sciurus_aberti,1248,-108.219755,28.312354,2017,"Ocampo, Chih., México",25_30
3902768205,sciurus_aberti,62,-108.705245,29.847794,2022,"Nácori Chico, Son., México",25_30
